"in_yougov_data","log_smoothed_perc_dem_rt","log_smoothed_perc_rep_rt","log_smoothed_perc_dem_reply","log_smoothed_perc_rep_reply"
TRUE,-10.0062070838629,-7.80998359696646,-9.31305990330292,-9.77609645333929
TRUE,-10.0062070838629,-7.2446697879164,-9.08991635198871,-9.37063134523113
TRUE,-9.95213986259259,-7.35255874992759,-8.81904139785331,-9.52478202505839
TRUE,-9.28566092911481,-6.99461878368227,-8.23313974764696,-8.75159213682491
FALSE,-9.49538146009687,-6.80935171665856,-7.97659791593091,-8.65395366726099
FALSE,-9.52928301177256,-7.03065872016546,-7.94075178415777,-8.80423587031033
FALSE,-9.90084656820504,-7.59487221734952,-8.36397934860577,-9.37063134523113
TRUE,-9.80553638840071,-7.32755744772217,-8.29140865577094,-8.88879325833839
TRUE,-9.4308429389593,-7.14215422439081,-9.13537872606547,-9.11931691695022
TRUE,-9.67770301689083,-7.25036780903104,-6.21321789599276,-7.97250252646424
TRUE,-9.80553638840071,-7.83018630428398,-9.46259163727388,-9.41942150940056
TRUE,-9.31305990330292,-7.32140358214779,-8.48985959449478,-9.47071480378811
TRUE,-9.52928301177256,-7.60296942758213,-8.20523095952989,-9.41942150940056
TRUE,-9.34123078026962,-7.32140358214779,-7.31308253297733,-8.91864622148807
TRUE,-9.49538146009687,-7.23337023266247,-7.44984147009272,-8.70158171625024
TRUE,-9.63848230373755,-7.28525506803148,-7.31684901577281,-8.98116657846941
TRUE,-9.6007419757547,-7.16812971079407,-7.29077677546303,-8.44486186940243
TRUE,-9.6007419757547,-7.2676593061411,-9.20769938764509,-8.91864622148807
TRUE,-9.49538146009687,-7.2277679771138,-6.3818661508865,-8.11108868975038
TRUE,-9.46259163727388,-6.95132197792894,-8.15164671339578,-9.23709995260661
TRUE,-9.40007128029255,-6.98580815400011,-7.26178923858978,-8.42616973639028
TRUE,-9.28566092911481,-7.1787118201246,-8.16919102304669,-8.94941788015483
TRUE,-9.18300677505472,-6.88970084382277,-6.7144939350424,-8.27201905656302
TRUE,-9.52928301177256,-7.35890797760624,-8.90759479519476,-9.52478202505839
TRUE,-9.23301719562938,-6.89770088648984,-6.14547737282227,-7.5024988972185
TRUE,-10.0062070838629,-7.69665491165946,-7.77261486235577,-8.80423587031033
TRUE,-9.76108462582988,-7.56312351903494,-8.24261849160151,-9.19627795808635
TRUE,-9.6007419757547,-7.2446697879164,-7.52594081363137,-8.60849129318423
TRUE,-9.90084656820504,-7.82003393281996,-9.13537872606547,-9.58194043889834
TRUE,-9.85205640403561,-7.54761933249897,-8.76944445671394,-9.37063134523113
TRUE,-9.90084656820504,-7.34624958073432,-8.28145832491777,-9.32411132959624
TRUE,-9.4308429389593,-6.84680927919346,-7.72609484672088,-8.60849129318423
TRUE,-9.52928301177256,-7.02608205313805,-7.38719050513105,-8.05844495626496
TRUE,-9.4308429389593,-6.87781951593602,-8.17807997046394,-8.85980572146514
TRUE,-9.6007419757547,-7.57887187600307,-9.04643124004897,-9.52478202505839
TRUE,-9.76108462582988,-7.32755744772217,-8.02138151855788,-9.11931691695022
TRUE,-9.40007128029255,-7.15246359404967,-7.52130043407487,-8.83163484449844
TRUE,-9.71852501141109,-7.41794150919044,-7.6083118110645,-8.85980572146514
TRUE,-9.28566092911481,-7.01247640108227,-7.06763322414882,-8.48332815023023
TRUE,-9.0047585436484,-6.77679911362081,-6.69202107919034,-7.80003326611329
TRUE,-9.56437433158383,-7.55534137859288,-8.5658455014727,-9.58194043889834
TRUE,-9.6007419757547,-7.5024988972185,-8.57909072822272,-9.11931691695022
TRUE,-9.49538146009687,-7.64446915848889,-7.54947131104156,-8.98116657846941
TRUE,-9.6007419757547,-7.37820118054092,-7.26895772806839,-8.46391006437313
TRUE,-8.61991272274297,-6.37489907167714,-6.05069896649498,-7.41120747700909
TRUE,-9.85205640403561,-7.77076288381318,-9.71852501141109,-9.64256506071477
TRUE,-9.56437433158383,-7.35255874992759,-9.02537783085114,-9.08294927277935
TRUE,-9.71852501141109,-7.57096669649596,-9.37021831714287,-9.64256506071477
FALSE,-8.73769575839936,-7.14215422439081,-6.90761742486917,-7.97250252646424
TRUE,-9.85205640403561,-7.6702216545913,-8.70692409973261,-9.47071480378811
TRUE,-9.67770301689083,-7.72380590072541,-8.70692409973261,-9.41942150940056
TRUE,-9.46259163727388,-7.16288035490792,-7.81517447677457,-8.91864622148807
TRUE,-9.49538146009687,-7.45932672535329,-7.97659791593091,-8.83163484449844
TRUE,-9.37021831714287,-7.10688608555335,-7.6980818104932,-8.40782059772208
TRUE,-9.34123078026962,-7.11184887489548,-7.30933018335878,-8.52333348484393
TRUE,-9.52928301177256,-7.27935534590429,-7.53060282673718,-8.60849129318423
TRUE,-9.63848230373755,-7.5024988972185,-6.62559040990073,-8.21046116356359
TRUE,-9.63848230373755,-7.48790009779735,-8.72219157186339,-9.32411132959624
TRUE,-9.04643124004897,-6.52350957112878,-6.93557350213576,-7.79018096967028
TRUE,-9.37021831714287,-7.48790009779735,-7.52594081363137,-8.42616973639028
TRUE,-9.52928301177256,-7.0491777679327,-7.0415069195566,-8.08442044266822
TRUE,-9.31305990330292,-6.86997633847499,-6.51307220687502,-7.98433698411124
TRUE,-9.85205640403561,-7.83018630428398,-7.89263253581357,-8.72627432884062
TRUE,-9.52928301177256,-7.48790009779735,-7.79063336785845,-8.56500618124449
TRUE,-9.63848230373755,-7.47351136034525,-8.72219157186339,-9.2796595670254
TRUE,-9.90084656820504,-7.48790009779735,-8.29140865577094,-9.19627795808635
TRUE,-9.71852501141109,-7.08243498968918,-7.7204291091852,-8.83163484449844
TRUE,-9.52928301177256,-7.23337023266247,-7.47162882427763,-8.70158171625024
TRUE,-10.0633654977028,-8.40782059772208,-9.6007419757547,-9.70710358185234
TRUE,-9.90084656820504,-7.79018096967028,-9.11238920784077,-9.52478202505839
TRUE,-10.0062070838629,-8.32080922073245,-8.40794247202689,-9.41942150940056
TRUE,-9.85205640403561,-7.48790009779735,-8.14298865065266,-9.23709995260661
FALSE,-10.593993748765,-10.1125686899605,-9.31305990330292,-9.77609645333929
TRUE,-9.95213986259259,-7.30920830905397,-7.27617797604188,-8.56500618124449
TRUE,-9.40007128029255,-6.78394200113319,-8.24261849160151,-8.56500618124449
TRUE,-9.76108462582988,-7.33997996772073,-8.19609847596661,-8.75159213682491
TRUE,-9.56437433158383,-6.99905338075013,-7.90614625498029,-8.54395277204666
TRUE,-9.40007128029255,-6.85063337563186,-8.05239175530044,-8.67748416467118
TRUE,-9.56437433158383,-7.20021802534557,-7.46723321280459,-8.80423587031033
TRUE,-9.37021831714287,-7.27935534590429,-7.29815688276066,-8.58651238646546
FALSE,-10.593993748765,-10.1125686899605,-9.80553638840071,-9.77609645333929
TRUE,-9.28566092911481,-6.85063337563186,-7.41178190826837,-8.50313077752641
TRUE,-9.4308429389593,-6.922092339614,-7.22669791877851,-8.03312714828067
TRUE,-9.63848230373755,-7.35890797760624,-8.32186786325565,-9.41942150940056
TRUE,-9.90084656820504,-7.75171468884249,-8.67707113658292,-9.04785795296808
TRUE,-9.06793744526994,-7.41120747700909,-6.28185324155527,-7.87185900068455
TRUE,-9.95213986259259,-7.6529798481568,-9.18300677505472,-9.47071480378811
TRUE,-9.95213986259259,-7.76119343279703,-8.57909072822272,-9.77609645333929
FALSE,-10.593993748765,-10.1125686899605,-7.92676554218303,-9.15705724493307
TRUE,-9.34123078026962,-7.25609848374002,-8.53987001506944,-9.04785795296808
TRUE,-9.63848230373755,-7.38471586156212,-7.21640623274196,-8.80423587031033
TRUE,-9.71852501141109,-7.6529798481568,-7.97659791593091,-9.2796595670254
TRUE,-9.67770301689083,-7.33997996772073,-7.55424458979422,-8.75159213682491
TRUE,-9.67770301689083,-7.43154716124622,-7.6980818104932,-9.08294927277935
TRUE,-9.95213986259259,-7.83018630428398,-8.1870486404467,-9.2796595670254
TRUE,-9.15890922347566,-7.01247640108227,-6.79402024714546,-7.6111327382213
TRUE,-9.49538146009687,-7.21665675168873,-7.80282864095227,-8.54395277204666
TRUE,-9.90084656820504,-7.5399564597534,-8.59251374855486,-9.32411132959624
TRUE,-9.6007419757547,-7.42472119617582,-7.63388865285414,-8.94941788015483
TRUE,-9.76108462582988,-7.84044280445117,-8.16919102304669,-9.08294927277935
TRUE,-9.4308429389593,-7.43154716124622,-7.20960348541921,-8.40782059772208
TRUE,-9.85205640403561,-7.80998359696646,-8.88924565652656,-9.2796595670254
TRUE,-10.0062070838629,-8.21046116356359,-8.92628692820691,-9.64256506071477
TRUE,-9.56437433158383,-7.37172866603531,-6.91516463050455,-8.46391006437313
TRUE,-9.85205640403561,-7.56312351903494,-8.47773823396243,-8.72627432884062
TRUE,-9.52928301177256,-7.30920830905397,-8.52713098929201,-9.11931691695022
TRUE,-9.49538146009687,-7.16288035490792,-7.63908346973125,-9.08294927277935
TRUE,-10.0633654977028,-7.97250252646424,-8.9453351231776,-9.58194043889834
TRUE,-9.85205640403561,-7.79018096967028,-8.28145832491777,-9.52478202505839
TRUE,-9.56437433158383,-7.27935534590429,-8.59251374855486,-9.37063134523113
TRUE,-9.4308429389593,-7.18404516609997,-7.58337286271724,-8.85980572146514
TRUE,-10.0062070838629,-7.9042942764377,-8.52713098929201,-9.64256506071477
TRUE,-9.52928301177256,-6.9303568494639,-8.1174553486475,-8.91864622148807
TRUE,-9.85205640403561,-7.71467341716214,-8.34270195015849,-9.41942150940056
TRUE,-9.80553638840071,-7.2971599705378,-8.48985959449478,-9.15705724493307
TRUE,-9.37021831714287,-7.22219693206434,-7.19613526836834,-8.63096414903629
TRUE,-9.71852501141109,-7.48067984982386,-7.48940707029891,-8.63096414903629
TRUE,-9.6007419757547,-7.28525506803148,-7.71479529146695,-9.08294927277935
TRUE,-9.52928301177256,-7.32755744772217,-7.98392395602298,-8.72627432884062
TRUE,-10.1239901195192,-7.97250252646424,-9.15890922347566,-9.70710358185234
TRUE,-9.37021831714287,-7.07761570325323,-7.42430816808756,-8.28801939790946
TRUE,-9.49538146009687,-7.1787118201246,-7.84033303641072,-8.67748416467118
TRUE,-9.71852501141109,-7.17340676789491,-8.09255779702577,-9.08294927277935
TRUE,-9.80553638840071,-7.63603028984302,-8.08439448638661,-9.32411132959624
TRUE,-9.85205640403561,-7.51731398300364,-8.53987001506944,-9.37063134523113
TRUE,-9.80553638840071,-7.5024988972185,-9.15890922347566,-9.41942150940056
TRUE,-9.71852501141109,-7.8825542898013,-8.08439448638661,-9.47071480378811
TRUE,-9.56437433158383,-7.34624958073432,-7.29446002087933,-8.60849129318423
TRUE,-9.46259163727388,-7.38471586156212,-9.18300677505472,-9.23709995260661
FALSE,-10.593993748765,-10.1125686899605,-9.71852501141109,-9.93024713316655
TRUE,-9.52928301177256,-7.23900405038072,-8.53987001506944,-9.23709995260661
TRUE,-9.56437433158383,-7.45230915269465,-7.88594354766277,-9.11931691695022
TRUE,-9.56437433158383,-7.43842004053398,-7.84672283450949,-8.94941788015483
TRUE,-10.0633654977028,-8.16665854090519,-9.31305990330292,-10.0172585101562
TRUE,-9.31305990330292,-6.77679911362081,-8.27160602847476,-8.48332815023023
TRUE,-9.52928301177256,-7.59487221734952,-6.9459362891713,-7.38471586156212
TRUE,-9.20769938764509,-6.9303568494639,-7.70919303591828,-8.80423587031033
