"tid","d_rt","r_rt","d_reply","r_reply","total_panel"
"1000061992042975232",8,90,26,4,128
"1000064605903876096",8,166,35,11,220
"1000114139136606209",9,148,49,8,214
"1000138164923781121",27,216,96,29,368
"1000174070061813761",12,152,90,24,278
"1000366478846300165",22,185,33,17,257
"1000375761604370434",15,165,789,75,1044
"1000385794115325952",12,88,21,10,131
"1000387893427351553",26,153,72,9,260
"1000391997969092608",19,113,99,10,241
"1000396430371106817",25,153,256,23,457
"1000458567147839488",20,168,222,31,441
"1000462031500099584",16,159,255,21,451
"1000465814192099330",17,180,262,43,502
"1000554657859670016",17,162,30,23,232
"1000718611688943616",20,169,665,64,918
"1000726832843501570",21,226,105,14,366
"1000741764565753856",23,218,270,44,555
"1000831304836018176",27,178,103,22,330
"1000837182297464832",31,241,474,53,799
"1001055932376387584",19,147,44,8,218
"1001085207825534976",29,239,845,126,1239
"1001099771602456576",8,102,158,27,295
"1001103028626345984",13,118,95,15,241
"1001108964216537089",17,166,205,35,423
"1001149367271686145",10,89,33,7,139
"1001149793496977408",11,120,52,11,194
"1001151001699803138",10,149,91,12,262
"1001212077699149825",22,252,166,35,475
"1001220050995511298",19,209,237,68,533
"1001404640796336128",22,244,102,25,393
"1001410457092218880",17,116,37,8,178
"1001415199516254208",13,152,121,17,303
"1001417880116891650",23,183,206,26,438
"1001420270094168064",14,138,188,25,365
"1001424695126880258",27,212,330,41,610
"1001455721588969472",39,271,485,91,886
"1001807174249713664",18,119,66,7,210
"1001807204519997442",17,126,65,17,225
"1001807216297627648",20,108,200,21,349
"1001834394359877633",17,144,268,42,471
"1001848460881035265",62,410,930,139,1541
"1001873279597064194",11,94,14,6,125
"1001873868498325504",18,148,38,18,222
"1001875884142362625",14,117,24,6,161
"1001973090107248641",11,105,56,9,181
"1001978774219644929",15,99,56,10,180
"1002023477531070464",21,181,151,23,376
"1002027245131661312",20,132,127,26,305
"1002141448232493056",24,192,171,45,432
"1002156016060989445",25,191,257,39,512
"1002159087830827008",19,160,204,35,418
"1002160516733853696",16,126,519,57,718
"1002176736761655298",16,128,55,12,211
"1002177521599860736",37,352,378,92,859
"1002298565299965953",24,128,205,44,401
