0,1,2,3
"The Bill, Hillary and Chelsea Clinton Foundation",Philanthropic organization,“corrupt”,https://twitter.com/realDonaldTrump/status/1071001119697108992
Hillary Clinton,,“Crooked Hillary”,https://twitter.com/realDonaldTrump/status/1071006628487540738
Hillary Clinton,,“corrupt”,https://twitter.com/realDonaldTrump/status/1071015457409384453
Michael Cohen,Former lawyer for Mr. Trump,“TERRIBLE”,https://twitter.com/realDonaldTrump/status/1069613383622803456
Michael Cohen,Former lawyer for Mr. Trump,“makes up stories to get a GREAT & ALREADY reduced deal for himself”,https://twitter.com/realDonaldTrump/status/1069613383622803456
Michael Cohen,Former lawyer for Mr. Trump,“lied”,https://twitter.com/realDonaldTrump/status/1069614615510859776
James Comey,Former F.B.I. director,“Leakin’ Lyin’ James Comey”,https://twitter.com/realDonaldTrump/status/1071001119697108992
James Comey,Former F.B.I. director,“Lyin’ James Comey”,https://twitter.com/realDonaldTrump/status/1071009820575186945
Democrats,,“corrupt”,https://twitter.com/realDonaldTrump/status/1071015457409384453
The “mainstream” media,,“Fake News Media”,https://twitter.com/realDonaldTrump/status/1070837085538525185
The “mainstream” media,,“FAKE NEWS”,https://twitter.com/realDonaldTrump/status/1070877666654519297
The “mainstream” media,,“THE ENEMY OF THE PEOPLE!”,https://twitter.com/realDonaldTrump/status/1070877666654519297
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1071036505676808194
Members of Robert Mueller’s team,,"“out of control band of Angry Democrats, don’t want the truth, they only want lies”",https://twitter.com/realDonaldTrump/status/1069621305245409281
Members of Robert Mueller’s team,,“The truth is very bad for their mission!”,https://twitter.com/realDonaldTrump/status/1069621305245409281
Members of Robert Mueller’s team,,“17 Angry Dems”,https://twitter.com/realDonaldTrump/status/1070875222205759488
Members of Robert Mueller’s team,,“People forced to lie”,https://twitter.com/realDonaldTrump/status/1070875222205759488
Members of Robert Mueller’s team,,“17 Angry Democrats”,https://twitter.com/realDonaldTrump/status/1071006628487540738
Members of Robert Mueller’s team,,“lying”,https://twitter.com/realDonaldTrump/status/1071015457409384453
Members of Robert Mueller’s team,,“leaking”,https://twitter.com/realDonaldTrump/status/1071015457409384453
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“a rogue and out of control prosecutor”,https://twitter.com/realDonaldTrump/status/1069619316319035392
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“a much different man than people think”,https://twitter.com/realDonaldTrump/status/1069621305245409281
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“big time conflicts of interest”,https://twitter.com/realDonaldTrump/status/1071003598023221248
Paris Climate Accords,,“fatally flawed”,https://twitter.com/realDonaldTrump/status/1070089365995642881
Paris Climate Accords,,“whitewashing some of the worst polluters”,https://twitter.com/realDonaldTrump/status/1070089365995642881
Rod J. Rosenstein,United States Deputy Attorney General,“totally conflicted”,https://twitter.com/realDonaldTrump/status/1071009820575186945
Allegations of collusion between Russia and members of the Trump campaign,,“phony Russia Witch Hunt”,https://twitter.com/realDonaldTrump/status/1070698825571012613
Allegations of collusion between Russia and members of the Trump campaign,,“Presidential Harassment!”,https://twitter.com/realDonaldTrump/status/1070698825571012613
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt!”,https://twitter.com/realDonaldTrump/status/1070877381861277696
Allegations of collusion between Russia and members of the Trump campaign,,“total Witch Hunt”,https://twitter.com/realDonaldTrump/status/1071001119697108992
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt”,https://twitter.com/realDonaldTrump/status/1071036505676808194
Rex Tillerson,U.S. Secretary of State,“didn’t have the mental capacity needed”,https://twitter.com/realDonaldTrump/status/1071132880368132096
Rex Tillerson,U.S. Secretary of State,“dumb as a rock”,https://twitter.com/realDonaldTrump/status/1071132880368132096
Rex Tillerson,U.S. Secretary of State,“I couldn’t get rid of him fast enough”,https://twitter.com/realDonaldTrump/status/1071132880368132096
Rex Tillerson,U.S. Secretary of State,“lazy as hell”,https://twitter.com/realDonaldTrump/status/1071132880368132096
Andrew Weissmann,A lieutenant to Robert Mueller on the special counsel investigation,“horrible and vicious prosecutorial past”,https://twitter.com/realDonaldTrump/status/1071003598023221248
Andrew Weissmann,A lieutenant to Robert Mueller on the special counsel investigation,“wrongly destroyed people’s lives”,https://twitter.com/realDonaldTrump/status/1071003598023221248
Andrew Weissmann,A lieutenant to Robert Mueller on the special counsel investigation,“took down great companies”,https://twitter.com/realDonaldTrump/status/1071003598023221248
“60 Minutes”,CBS News broadcast,"“did a phony story about child separation,”",https://twitter.com/realDonaldTrump/status/1066873981293260801
“60 Minutes”,CBS News broadcast,“Fake 60 Minutes!”,https://twitter.com/realDonaldTrump/status/1066876053170339840
Hillary Clinton,,“Crooked Hillary”,https://twitter.com/realDonaldTrump/status/1067576713859817472
Hillary Clinton,,“Crooked”,https://twitter.com/realDonaldTrump/status/1068110895409233921
CNN,,“doesn’t do great in the United States based on ratings”,https://twitter.com/realDonaldTrump/status/1067142819008122885
CNN,,“a powerful voice portraying the United States in an unfair and false way”,https://twitter.com/realDonaldTrump/status/1067142819008122885
The European Union,,“has taken advantage of us on Trade”,https://twitter.com/realDonaldTrump/status/1066790517944606721
Groups of would-be immigrants approaching the border,,“stone cold criminals”,https://twitter.com/realDonaldTrump/status/1067015026995879937
The “mainstream” media,,“Fake Media”,https://twitter.com/realDonaldTrump/status/1066873981293260801
The “mainstream” media,,“Fake News”,https://twitter.com/realDonaldTrump/status/1067398375337791488
The “mainstream” media,,“disgusting Fake News”,https://twitter.com/realDonaldTrump/status/1067775022331236352
Members of Robert Mueller’s team,,“gang of Angry Dems”,https://twitter.com/realDonaldTrump/status/1067395266511347713
Members of Robert Mueller’s team,,"“only looking at one side, not the other,  Wait until it comes out how horribly & viciously they are treating people, ruining lives for them refusing to lie”",https://twitter.com/realDonaldTrump/status/1067395266511347713
Members of Robert Mueller’s team,,“terrible Gang of Angry Democrats”,https://twitter.com/realDonaldTrump/status/1067404517841518593
Members of Robert Mueller’s team,,“they’ve got nothing but ruined lives”,https://twitter.com/realDonaldTrump/status/1067404517841518593
Members of Robert Mueller’s team,,“terrible people”,https://twitter.com/realDonaldTrump/status/1067404517841518593
Members of Robert Mueller’s team,,“Angry Mueller Gang of Dems”,https://twitter.com/realDonaldTrump/status/1067775022331236352
Members of Robert Mueller’s team,,“viciously telling witnesses to lie about facts”,https://twitter.com/realDonaldTrump/status/1067775022331236352
Members of Robert Mueller’s team,,"“Angry Democrats,  aren’t even looking at the atrocious, and perhaps subversive, crimes that were committed by Crooked Hillary Clinton and the Democrats”",https://twitter.com/realDonaldTrump/status/1068110895409233921
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“will he be covering all of his conflicts of interest in a preamble”,https://twitter.com/realDonaldTrump/status/1067063727994884096
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“a conflicted prosecutor gone rogue....”,https://twitter.com/realDonaldTrump/status/1067395266511347713
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director","“only looking at one side, not the other”",https://twitter.com/realDonaldTrump/status/1067395266511347713
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director","“The Fake News Media builds Bob Mueller up as a Saint, when in actuality he is the exact opposite”",https://twitter.com/realDonaldTrump/status/1067398375337791488
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“doing TREMENDOUS damage to our Criminal Justice System”,https://twitter.com/realDonaldTrump/status/1067398375337791488
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“he is only looking at one side and not the other”,https://twitter.com/realDonaldTrump/status/1067398375337791488
Robert Mueller,"Leader of Special Counsel investigation, former F.B.I. director",“refuses to look at the real crimes on the other side”,https://twitter.com/realDonaldTrump/status/1068339979250675712
North American Free Trade Agreement,,“terrible”,https://twitter.com/realDonaldTrump/status/1068516326010830849
Allegations of collusion between Russia and members of the Trump campaign,,“Phony Witch Hunt”,https://twitter.com/realDonaldTrump/status/1067395266511347713
Allegations of collusion between Russia and members of the Trump campaign,,"“$30,000,000 Witch Hunt”",https://twitter.com/realDonaldTrump/status/1067404517841518593
Allegations of collusion between Russia and members of the Trump campaign,,“The Mueller Witch Hunt”,https://twitter.com/realDonaldTrump/status/1067576713859817472
Allegations of collusion between Russia and members of the Trump campaign,,“a total disgrace”,https://twitter.com/realDonaldTrump/status/1067576713859817472
Allegations of collusion between Russia and members of the Trump campaign,,“discredited Witch Hunt”,https://twitter.com/realDonaldTrump/status/1068001369746022400
Allegations of collusion between Russia and members of the Trump campaign,,“This total Hoax will be studied for years!”,https://twitter.com/realDonaldTrump/status/1068001369746022400
Allegations of collusion between Russia and members of the Trump campaign,,“Did you ever see an investigation more in search of a crime?”,https://twitter.com/realDonaldTrump/status/1068110895409233921
Allegations of collusion between Russia and members of the Trump campaign,,“A total disgrace!”,https://twitter.com/realDonaldTrump/status/1068110895409233921
Allegations of collusion between Russia and members of the Trump campaign,,“illegal Joseph McCarthy style Witch Hunt”,https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,“has shattered so many innocent lives”,https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,"“wasting more than $40,000,000 (is that possible?)”",https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,“So Ridiculous!”,https://twitter.com/realDonaldTrump/status/1068116413498429445
Allegations of collusion between Russia and members of the Trump campaign,,“A total Witch Hunt!”,https://twitter.com/realDonaldTrump/status/1068336562729938945
Allegations of collusion between Russia and members of the Trump campaign,,“an illegal Hoax”,https://twitter.com/realDonaldTrump/status/1068339979250675712
Allegations of collusion between Russia and members of the Trump campaign,,“Witch Hunt!”,https://twitter.com/realDonaldTrump/status/1068444287380025344
Brenda Snipes,"Former Supervisor of Elections for Broward County, Fla.",“was just spotted wearing a beautiful dress with 300 I VOTED signs on it”,https://twitter.com/realDonaldTrump/status/1067623816921272325
The U.S. Justice Department,,“Let these terrible people go back to the Clinton Foundation and “Justice” Department!”,https://twitter.com/realDonaldTrump/status/1067404517841518593
United States,,“going in the wrong direction (to put it mildly)”,https://twitter.com/realDonaldTrump/status/1068442531887632384
White House Correspondents' Dinner,,“a dying evening and tradition!”,https://twitter.com/realDonaldTrump/status/1065088330969305089
Michelle Wolf,Comedian,“So-called comedian”,https://twitter.com/realDonaldTrump/status/1065088330969305089
Michelle Wolf,Comedian,“bombed so badly last year”,https://twitter.com/realDonaldTrump/status/1065088330969305089
Bill Clinton,,“famously missed his shot”,https://twitter.com/realDonaldTrump/status/1064540462848098304
