"name","my_party","gender.x","my_race","my_type","occupation","office2","gender.y","type","state.x","district","party.y","senate_class","party.x","branch","nationality","office","office3","rank","state.y","state_house","img1","img2","img3","img4"
"adam schiff","d","male","w","rep",NA,NA,"M","rep","CA",28,"[[Democratic Party (United States)|Democratic]]",NA,"Democrat",NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/f/f1/Rep._Adam_Schiff_with_Ehud_Barak_at_HISF2014_%2815232331943%29.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4c/Adam_Schiff%2C_Maria_Karras%2C_and_Heather_Podesta.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e7/Adam_Schiff_official_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/4/42/Adam_Schiff_115th_official_photo.jpg"
"al franken","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic-Farmer-Labor]]",NA,NA,NA,NA,NA,NA,NA,"[[Minnesota]]",NA,"https://upload.wikimedia.org/wikipedia/commons/4/40/Senator_Paul_Simon_and_comedian_Al_Franken.jpg","https://upload.wikimedia.org/wikipedia/commons/5/50/Al_Franken_Signature.svg","https://upload.wikimedia.org/wikipedia/commons/7/70/Al_Franken_Official_Senate_Portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/4/44/Al_Franken_at_Ramstein_Air_Force_Base%2C_Dec_2000.jpg"
"alec baldwin","d","male","w","celeb","Actor, writer, comedian , producer",NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/4/49/Alec_Baldwin%2C_Hilaria_Thomas.jpg","https://upload.wikimedia.org/wikipedia/commons/7/71/Alec_Baldwin_by_Gage_Skidmore.jpg",NA,NA
"andrew cuomo","d","male","w","politician",NA,"11th [[United States Secretary of Housing and Urban Development]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,"11th [[United States Secretary of Housing and Urban Development]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/33/GovernorMarioCuomo.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/CuomoAckerman.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3e/Andrew_Cuomo_2013.jpg","https://upload.wikimedia.org/wikipedia/commons/1/17/HUD_Secretary_Andrew_Cuomo.jpg"
"andrew jackson","d","male","w","politician",NA,NA,NA,NA,NA,NA,"{{plainlist|
* [[Democratic Party (United States)|Democratic]] (after 1828)
* [[Jacksonian democracy|Jacksonian]] (1825–1828)
* [[Democratic-Republican Party|Democratic-Republican]] (Before 1825)}}",NA,NA,"{{army|United States}}","American","President of the United States",NA,"{{plainlist|
* [[File:Army-USA-OF-07.svg|35px]] [[Major General (United States)|Major General]] ([[United States Army]]) 1814
* [[File:Army-USA-OF-07.svg|35px]] [[Major General (United States)|Major General]] ([[United States Volunteers]]) 1812
* [[File:US-O8 insignia.svg|25px]] [[Major General (United States)|Major General]] ([[Tennessee Army National Guard|Tennessee Militia]]) 1802}}",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/c2/JacksonAssassinationAttempt.jpg","https://upload.wikimedia.org/wikipedia/commons/2/24/JACKSON%2C_Andrew-President_%28BEP_engraved_portrait%29.jpg","https://upload.wikimedia.org/wikipedia/commons/5/58/Andrew_Jackson_Tomb.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c1/Andrew_Jackson_Signature-.svg"
"anthony d. weiner","d","male","w","politician",NA,"Member of the [[New York City Council]]<br />from the 48th district",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,"Member of the [[New York City Council]]<br />from the 48th district",NA,"New York",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c0/NLN_Anthony_Weiner.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1d/Anthony_Weiner%2C_official_portrait%2C_112th_Congress.jpg",NA,NA
"bakari sellers","d","male","b","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,"South Carolina","South Carolina",NA,NA,NA,NA
"barack obama","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"President of the United States",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/1f/Obama.svg","https://upload.wikimedia.org/wikipedia/commons/b/b6/Obamamiltondavis1.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3d/Obamas_at_church_on_Inauguration_Day_2013.jpg","https://upload.wikimedia.org/wikipedia/commons/6/63/Obama-venice-la.jpg"
"ben cardin","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,"American",NA,NA,NA,"Maryland",NA,"https://upload.wikimedia.org/wikipedia/commons/b/b8/Cardin_testifying_before_house_subcommittee.jpg","https://upload.wikimedia.org/wikipedia/commons/1/19/Cardin_calling_for_troops_to_withdraw.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fb/Ben_Cardin_official_Senate_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6a/Cardin_bartlett_davis.jpg"
"bernie sanders","d","male","w","politician",NA,"Chair of the [[Senate Veterans' Affairs Committee]]",NA,NA,NA,NA,"[[Independent politician#United States|Independent]] (1979–2015; 2016–present)",NA,NA,NA,NA,NA,"Chair of the [[Senate Veterans' Affairs Committee]]",NA,"[[Vermont]]",NA,"https://upload.wikimedia.org/wikipedia/commons/4/40/Sanders_Introduces_%2415_Minimum_Wage.jpg","https://upload.wikimedia.org/wikipedia/commons/b/bc/Sanders_swearing-in3.jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Bernie_Seattle_07.jpg","https://upload.wikimedia.org/wikipedia/commons/7/77/Bernie_Sanders_signature.svg"
"bill clinton","d","male","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/d7/Reagans_with_the_Clintons.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b8/Obama_and_Bill_Clinton.jpg","https://upload.wikimedia.org/wikipedia/commons/d/db/President_Clinton_greets_the_crowd_at_Spangdahlem_Air_Base.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b9/President_Clinton_talks_with_Col._Paul_Fletcher%2C_USAF.jpeg"
"bill de blasio","d","male","w","politician",NA,"Member of the [[New York City Council]]<br>from the 39th district",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"109th [[Mayor of New York City]]","Member of the [[New York City Council]]<br>from the 39th district",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/4/44/Bill_de_Blasio_and_family.jpg","https://upload.wikimedia.org/wikipedia/commons/8/82/Bill_de_Blasio_Signature.png","https://upload.wikimedia.org/wikipedia/commons/a/aa/Bill_de_Blasio_%26_Avigdor_Lieberman.jpg","https://upload.wikimedia.org/wikipedia/commons/0/08/Bill_de_Blasio_Inauguration.jpg"
"bob casey","d","male","w","politician",NA,"34th [[Pennsylvania Treasurer|Treasurer of Pennsylvania]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,"34th [[Pennsylvania Treasurer|Treasurer of Pennsylvania]]",NA,"[[Pennsylvania]]",NA,"https://upload.wikimedia.org/wikipedia/commons/3/36/CaseyPA.JPG","https://upload.wikimedia.org/wikipedia/commons/3/30/Bob_Casey_Jr._official_photo.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e6/Bob_Casey%2C_Jr._DNC_2008.jpg",NA
"chelsea clinton","d","female","w","politician",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/c/c9/Chelsea_Clinton_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/2/29/Chelsea_Clinton.png","https://upload.wikimedia.org/wikipedia/commons/a/a7/Chelsea_Clinton_DNC_July_2016_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/6/65/Chelsea_Clinton_DNC_2008.jpg"
"chelsea manning","d","female","w","X",NA,NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,"[[Americans|American]]",NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/e/e2/Chelsea_Manning_signature.svg","https://upload.wikimedia.org/wikipedia/commons/5/5d/Bradley_Manning_US_Army.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f0/Bradley_Manning_2_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8c/Chelsea_Manning%2C_20_January_2018.jpg"
"chris wallace","d","male","w","news","Host of ''[[Fox News Sunday]]''",NA,NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/79/Interview_with_Chris_Wallace_%2822568334387%29.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8e/Chris_Wallace_1975.JPG","https://upload.wikimedia.org/wikipedia/commons/9/97/Chris_Wallace_%281%29.jpg",NA
"chuck schumer","d","male","w","sen",NA,"Chair of the [[Senate Democratic Policy Committee]]",NA,NA,NA,NA,"[[Democratic Party (United States)|Democratic]]",NA,NA,NA,NA,"[[Party leaders of the United States Senate|Senate Minority Leader]]","Chair of the [[Senate Democratic Policy Committee]]",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/d8/President_Barack_Obama_is_met_by_Sen._Chuck_Schumer.jpg","https://upload.wikimedia.org/wikipedia/commons/9/97/Chuck_Schumer_49th_Binghamton_Parade_Day.jpeg","https://upload.wikimedia.org/wikipedia/commons/d/d6/Charles_Schumer_official_portrait.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Chuck_Schumer_official_photo.jpg"
