tid,wapo_isfalse,wapo_repeated,wapo_topic
1057325717162213378,1,0,Miscellaneous
1057249169507803137,1,7,Economy
1057069393090355200,1,0,Biographical record
1057059603605831680,1,0,Biographical record
1057063101189836801,1,0,Biographical record
1056922209111994373,1,0,Miscellaneous
1056919064906469376,1,0,Full story 
1056879122348195841,1,0,Biographical record
1056880287974649856,1,0,Biographical record
1056592374607024130,1,0,Miscellaneous
1055822810940129283,1,0,Miscellaneous
1055412328571850753,1,1,Miscellaneous
1055414972635926528,1,62,Immigration
1055458320390217728,1,1,Miscellaneous
1055064484644089856,1,0,Immigration
1055077740792160256,1,23,Full story 
1054775397798178816,1,0,Trade
1054755401651179521,1,0,Miscellaneous
1054351078328885248,1,27,Full story 
1054354059535269888,1,42,Immigration
1054430376557535232,1,0,Immigration
1054432329710608385,1,4,Environment
1054556416155910144,1,53,Full story 
1054091502585069568,1,0,
1054088531629490178,1,0,
1053682023066288128,1,0,Election
1053338516501889025,1,7,Full story 
1052883467430694912,1,27,Full story 
1053008701026693122,1,23,Full story 
1053013864244219904,1,27,Immigration
1053076069564071936,1,53,Miscellaneous
1052522197347119104,1,0,Biographical record
1052168909665824769,1,10,Full story 
1052173526919196672,1,10,Full story 
1052171444082360320,1,10,Full story 
1052181272137801728,1,3,Immigration
1052184484941049857,1,0,Jobs
1052186219696803841,1,0,Biographical record
1052200515608690688,1,7,Full story 
1052213711295930368,1,0,Full story 
1052217314463100928,1,33,Full story 
1052219253384994816,1,11,Full story 
1052387851088867330,1,0,Full story 
1051807774894624768,1,24,Biographical record
1031907600219209728,1,0,Biographical record
1050788995377049601,1,0,Biographical record
1050008315286171648,1,27,Miscellaneous
1050129323724816388,1,24,Miscellaneous
1049638803177127936,1,7,Full story 
1048606042123395072,1,7,Miscellaneous
1048196883464818688,1,7,Full story 
1047974091318149120,1,0,Miscellaneous
1047469711938736128,1,27,Miscellaneous
1047234792532529152,1,25,Biographical record
1046135994267963392,1,13,Full story 
1044540438806482944,1,0,Foreign policy
1044418753671417860,1,0,Miscellaneous
1044537328415506432,1,0,Miscellaneous
1043500433271066625,1,80,Full story 
1043130170612244481,1,0,Miscellaneous
1043126336473055235,1,0,Miscellaneous
1042738383720726528,1,11,Economy
1042376378593804289,1,9,Full story 
1042030988518408194,1,0,Russia
1042031772433883136,1,0,Russia
1042033116695670786,1,0,Trade
1042034269374361600,1,0,Trade
1042263143496511488,1,35,Foreign policy
1042264934288175105,1,35,Foreign policy
1041697308780515328,1,157,Russia
1041694123382726656,1,157,Russia
1041631817697251328,1,26,Trade
1041630722413527040,1,0,Trade
1041628201435521024,1,0,Economy
1041330897948160002,1,29,Full story 
1041441676949184512,1,157,Russia
1041451203442487297,1,80,Full story 
1041493551446675456,1,0,Economy
1041086383505465345,1,29,Full story 
1041151464046043137,1,0,Full story 
1040217897703026689,1,6,Full story 
1040220855400386560,1,0,Full story 
1040220855400386560,1,6,Full story 
1040407422156857344,1,0,Foreign policy
1039823496501768192,1,157,Russia
1039828966595616768,1,0,Environment
1039556378766069760,1,0,Economy
1039479054930530304,1,0,Miscellaneous
1039473456709021696,1,0,Russia
1039470755816374272,1,33,Full story 
1039162221492928513,1,19,Economy
1039150829754888193,1,80,Full story 
1039130589406875651,1,17,Miscellaneous
1038789398140084224,1,16,Trade
1038782091629088768,1,0,Economy
1038439687252307969,1,80,Full story 
1038453273286664193,1,0,Economy
1038180008479608832,1,157,Russia
1038159042751983616,1,44,Full story 
1038103589904777218,1,42,Immigration
1038027233519001600,1,17,Biographical record
1037661562897682432,1,80,Full story 
1037302649199177728,1,17,Biographical record
1037329592074350592,1,37,Biographical record
1037334510159966214,1,9,Miscellaneous
1037337422860873731,1,17,Biographical record
836933725602656256,1,17,Biographical record
836933725602656256,1,17,Biographical record
1037338204695941120,1,17,Biographical record
1037464177269514240,1,0,Crime
1037485664433070080,1,0,Biographical record
1036991866124861440,1,0,Miscellaneous
1037173907625832448,1,17,Miscellaneous
1037117638101688320,1,17,Miscellaneous
1036576599771111424,1,0,Jobs
